dataset,design,holdout,model,method,iter,n_train,n_test,auc,acer,apcer,bpcer,acc,dev_eer,train_loss,train_acc
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s1,2,12000,24000,0.9642,0.1194,0.2063,0.0325,0.8948,0.0245,0.0033,0.9991
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s2,2,12000,24000,0.9865,0.0894,0.1653,0.0135,0.9230,0.0092,0.0004,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s4,3,12000,24000,0.9634,0.0970,0.1628,0.0311,0.9138,0.0202,0.0028,0.9992
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s0,3,12000,24000,0.9259,0.1761,0.2797,0.0725,0.8409,0.0461,0.0023,0.9990
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s1,3,12000,24000,0.9743,0.1002,0.1735,0.0269,0.9118,0.0188,0.0010,0.9997
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s2,3,12000,24000,0.9802,0.0973,0.1643,0.0303,0.9137,0.0198,0.0011,0.9998
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s4,4,12000,24000,0.9768,0.0911,0.1554,0.0268,0.9194,0.0205,0.0033,0.9990
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s0,4,12000,24000,0.9719,0.0879,0.1375,0.0382,0.9203,0.0184,0.0066,0.9976
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s1,4,12000,24000,0.9799,0.0971,0.1720,0.0221,0.9152,0.0226,0.0028,0.9993
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s2,4,12000,24000,0.9807,0.0901,0.1583,0.0218,0.9211,0.0162,0.0044,0.9985
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s4,5,12000,24000,0.9744,0.1311,0.2474,0.0148,0.8880,0.0083,0.0003,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s0,5,12000,24000,0.9812,0.0925,0.1682,0.0168,0.9199,0.0170,0.0016,0.9996
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s1,5,12000,24000,0.9813,0.0937,0.1633,0.0241,0.9177,0.0225,0.0047,0.9984
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s2,5,12000,24000,0.9923,0.0632,0.1105,0.0159,0.9445,0.0133,0.0004,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s4,6,12000,24000,0.9745,0.1211,0.2256,0.0167,0.8960,0.0090,0.0022,0.9991
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s0,6,12000,24000,0.9759,0.0946,0.1569,0.0323,0.9156,0.0226,0.0004,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s1,6,12000,24000,0.9806,0.0793,0.1123,0.0463,0.9261,0.0383,0.0036,0.9989
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s2,6,12000,24000,0.9870,0.0924,0.1671,0.0176,0.9199,0.0141,0.0024,0.9997
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s4,7,12000,24000,0.9737,0.1003,0.1829,0.0177,0.9133,0.0103,0.0067,0.9975
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s0,7,12000,24000,0.9695,0.1121,0.1976,0.0266,0.9019,0.0266,0.0011,0.9998
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s1,7,12000,24000,0.9578,0.1272,0.2245,0.0299,0.8888,0.0261,0.0004,0.9999
